InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV50029,ITEM_137,Product Description ITEM_137,17,2025-04-12 00:00:00,29.13,10123,France
INV50029,ITEM_105,Product Description ITEM_105,17,2025-01-16 00:00:00,192.61,10005,United Kingdom
INV50029,ITEM_121,Product Description ITEM_121,12,2025-01-16 00:00:00,126.37,10041,United Kingdom
INV50030,ITEM_124,Product Description ITEM_124,7,2025-02-16 00:00:00,109.86,10028,United Kingdom
INV50030,ITEM_117,Product Description ITEM_117,3,2025-02-23 00:00:00,64.25,10135,United Kingdom
INV50030,ITEM_116,Product Description ITEM_116,10,2025-02-22 00:00:00,138.0,10072,France
INV50031,ITEM_111,Product Description ITEM_111,2,2025-01-06 00:00:00,70.41,10012,United Kingdom
INV50031,ITEM_105,Product Description ITEM_105,3,2025-05-06 00:00:00,225.64,10033,United Kingdom
INV50031,ITEM_125,Product Description ITEM_125,16,2025-01-19 00:00:00,55.76,10048,Spain
INV50032,ITEM_126,Product Description ITEM_126,2,2025-01-09 00:00:00,221.38,10062,France
INV50032,ITEM_107,Product Description ITEM_107,24,2025-05-12 00:00:00,140.95,10037,United Kingdom
INV50032,ITEM_118,Product Description ITEM_118,10,2025-07-06 00:00:00,207.55,10099,United Kingdom
INV50033,ITEM_141,Product Description ITEM_141,6,2025-04-29 00:00:00,178.93,10104,United Kingdom
INV50033,ITEM_100,Product Description ITEM_100,22,2025-04-10 00:00:00,174.93,10035,United Kingdom
INV50033,ITEM_128,Product Description ITEM_128,11,2025-03-05 00:00:00,82.78,10101,France
INV50034,ITEM_144,Product Description ITEM_144,23,2025-02-18 00:00:00,60.39,10131,United Kingdom
INV50034,ITEM_148,Product Description ITEM_148,7,2025-01-06 00:00:00,54.69,10001,United Kingdom
INV50034,ITEM_134,Product Description ITEM_134,15,2025-02-01 00:00:00,214.65,10005,United Kingdom
INV50035,ITEM_139,Product Description ITEM_139,6,2025-01-28 00:00:00,205.56,10142,United Kingdom
INV50035,ITEM_113,Product Description ITEM_113,20,2025-01-19 00:00:00,111.54,10103,United Kingdom
INV50035,ITEM_134,Product Description ITEM_134,9,2025-03-19 00:00:00,35.27,10027,United Kingdom
INV50036,ITEM_147,Product Description ITEM_147,22,2025-02-11 00:00:00,97.11,10137,United Kingdom
INV50036,ITEM_144,Product Description ITEM_144,20,2025-01-06 00:00:00,155.79,10015,United Kingdom
INV50036,ITEM_119,Product Description ITEM_119,12,2025-01-15 00:00:00,114.96,10090,United Kingdom
INV50037,ITEM_148,Product Description ITEM_148,19,2025-03-10 00:00:00,195.6,10042,United Kingdom
INV50037,ITEM_112,Product Description ITEM_112,20,2025-01-05 00:00:00,249.41,10124,United Kingdom
INV50037,ITEM_137,Product Description ITEM_137,3,2025-04-25 00:00:00,49.81,10063,United Kingdom
INV50038,ITEM_148,Product Description ITEM_148,15,2025-02-11 00:00:00,116.26,10096,United Kingdom
INV50038,ITEM_145,Product Description ITEM_145,2,2025-02-09 00:00:00,109.17,10052,United Kingdom
INV50038,ITEM_148,Product Description ITEM_148,21,2025-02-23 00:00:00,77.86,10096,United Kingdom
INV50039,ITEM_107,Product Description ITEM_107,2,2025-04-15 00:00:00,51.53,10132,United Kingdom
INV50039,ITEM_142,Product Description ITEM_142,22,2025-01-26 00:00:00,18.76,10143,Germany
INV50039,ITEM_119,Product Description ITEM_119,3,2025-03-09 00:00:00,222.06,10029,USA
CINV50040,ITEM_132,Product Description ITEM_132,-6,2025-02-20 00:00:00,106.41,10036,Germany
INV50040,ITEM_125,Product Description ITEM_125,15,2025-01-19 00:00:00,125.48,10013,United Kingdom
INV50040,ITEM_138,Product Description ITEM_138,10,2025-05-07 00:00:00,229.44,10071,France
INV50041,ITEM_120,Product Description ITEM_120,9,2025-04-06 00:00:00,194.63,10086,United Kingdom
INV50041,ITEM_148,Product Description ITEM_148,1,2025-03-06 00:00:00,34.8,10028,United Kingdom
INV50041,ITEM_141,Product Description ITEM_141,16,2025-04-25 00:00:00,142.44,10066,United Kingdom
INV50042,ITEM_142,Product Description ITEM_142,6,2025-05-02 00:00:00,111.96,10045,France
INV50042,ITEM_140,Product Description ITEM_140,9,2025-03-15 00:00:00,199.81,10062,United Kingdom
INV50042,ITEM_108,Product Description ITEM_108,4,2025-04-19 00:00:00,181.75,10134,United Kingdom
INV50043,ITEM_123,Product Description ITEM_123,2,2025-03-13 00:00:00,173.38,10028,Germany
INV50043,ITEM_136,Product Description ITEM_136,4,2025-03-10 00:00:00,86.78,10028,France
INV50043,ITEM_148,Product Description ITEM_148,1,2025-02-27 00:00:00,201.73,10108,United Kingdom
INV50044,ITEM_140,Product Description ITEM_140,19,2025-03-25 00:00:00,15.47,10044,United Kingdom
INV50044,ITEM_116,Product Description ITEM_116,10,2025-01-11 00:00:00,42.01,10084,United Kingdom
INV50044,ITEM_123,Product Description ITEM_123,21,2025-05-08 00:00:00,85.57,10030,Germany
INV50045,ITEM_120,Product Description ITEM_120,15,2025-05-04 00:00:00,21.51,10075,United Kingdom
INV50045,ITEM_138,Product Description ITEM_138,22,2025-01-02 00:00:00,60.66,10128,United Kingdom
INV50045,ITEM_140,Product Description ITEM_140,19,2025-04-15 00:00:00,207.96,10092,France
INV50046,ITEM_138,Product Description ITEM_138,16,2025-01-09 00:00:00,237.19,10129,United Kingdom
INV50046,ITEM_112,Product Description ITEM_112,21,2025-01-25 00:00:00,77.89,10121,United Kingdom
INV50046,ITEM_110,Product Description ITEM_110,24,2025-03-23 00:00:00,67.97,10027,United Kingdom
INV50047,ITEM_145,Product Description ITEM_145,22,2025-01-11 00:00:00,71.77,10121,United Kingdom
INV50047,ITEM_118,Product Description ITEM_118,4,2025-04-13 00:00:00,71.24,10116,United Kingdom
INV50047,ITEM_110,Product Description ITEM_110,2,2025-04-18 00:00:00,11.39,10003,United Kingdom
INV50048,ITEM_112,Product Description ITEM_112,13,2025-02-12 00:00:00,231.91,10103,United Kingdom
INV50048,ITEM_145,Product Description ITEM_145,1,2025-01-01 00:00:00,55.39,10137,United Kingdom
INV50048,ITEM_144,Product Description ITEM_144,17,2025-01-21 00:00:00,106.45,10062,United Kingdom
INV50049,ITEM_100,Product Description ITEM_100,13,2025-02-27 00:00:00,4.9,10051,USA
INV50049,ITEM_139,Product Description ITEM_139,4,2025-08-27 00:00:00,214.84,10059,Spain
INV50049,ITEM_143,Product Description ITEM_143,7,2025-03-01 00:00:00,183.46,10118,United Kingdom
INV50050,ITEM_118,Product Description ITEM_118,17,2025-01-19 00:00:00,236.82,10096,United Kingdom
INV50050,ITEM_111,Product Description ITEM_111,9,2025-03-02 00:00:00,195.95,10113,United Kingdom
INV50050,ITEM_107,Product Description ITEM_107,4,2025-02-16 00:00:00,80.14,10062,France
INV50051,ITEM_107,Product Description ITEM_107,19,2025-04-01 00:00:00,63.85,10052,United Kingdom
INV50051,ITEM_144,Product Description ITEM_144,1,2025-01-07 00:00:00,175.18,10012,Spain
INV50051,ITEM_111,Product Description ITEM_111,10,2025-03-27 00:00:00,92.62,10039,United Kingdom
INV50052,ITEM_147,Product Description ITEM_147,4,2025-02-16 00:00:00,142.64,10130,Spain
INV50052,ITEM_132,Product Description ITEM_132,9,2025-07-17 00:00:00,4.05,10131,France
INV50052,ITEM_144,Product Description ITEM_144,13,2025-01-26 00:00:00,17.82,10113,France
INV50053,ITEM_125,Product Description ITEM_125,14,2025-03-02 00:00:00,135.0,10101,United Kingdom
CINV50053,ITEM_138,Product Description ITEM_138,-10,2025-06-11 00:00:00,142.6,10113,United Kingdom
INV50053,ITEM_127,Product Description ITEM_127,6,2025-01-07 00:00:00,188.48,10081,United Kingdom
INV50054,ITEM_104,Product Description ITEM_104,16,2025-06-16 00:00:00,35.16,10113,United Kingdom
INV50054,ITEM_107,Product Description ITEM_107,6,2025-03-11 00:00:00,129.51,10002,United Kingdom
INV50054,ITEM_124,Product Description ITEM_124,17,2025-01-05 00:00:00,50.63,10130,United Kingdom
INV50055,ITEM_126,Product Description ITEM_126,10,2025-01-22 00:00:00,25.57,10054,United Kingdom
INV50055,ITEM_145,Product Description ITEM_145,18,2025-03-15 00:00:00,104.1,10087,United Kingdom
INV50055,ITEM_122,Product Description ITEM_122,22,2025-01-05 00:00:00,42.93,10129,United Kingdom
INV50056,ITEM_129,Product Description ITEM_129,18,2025-02-22 00:00:00,57.39,10147,United Kingdom
INV50056,ITEM_144,Product Description ITEM_144,3,2025-01-26 00:00:00,81.09,10126,Spain
INV50056,ITEM_146,Product Description ITEM_146,20,2025-02-28 00:00:00,66.7,10130,United Kingdom
INV50057,ITEM_122,Product Description ITEM_122,21,2025-01-03 00:00:00,24.18,10053,United Kingdom
INV50057,ITEM_148,Product Description ITEM_148,15,2025-05-04 00:00:00,24.75,10068,United Kingdom
INV50057,ITEM_146,Product Description ITEM_146,15,2025-08-06 00:00:00,50.33,10123,France
INV50058,ITEM_119,Product Description ITEM_119,4,2025-07-28 00:00:00,15.01,10145,United Kingdom
INV50058,ITEM_117,Product Description ITEM_117,9,2025-03-25 00:00:00,157.55,10038,United Kingdom
INV50058,ITEM_117,Product Description ITEM_117,19,2025-01-09 00:00:00,73.61,10024,United Kingdom
INV50059,ITEM_101,Product Description ITEM_101,24,2025-03-27 00:00:00,71.74,10069,United Kingdom
INV50059,ITEM_103,Product Description ITEM_103,17,2025-01-02 00:00:00,84.67,10116,United Kingdom
INV50059,ITEM_129,Product Description ITEM_129,11,2025-01-02 00:00:00,166.54,10098,USA
INV50060,ITEM_132,Product Description ITEM_132,9,2025-01-24 00:00:00,217.98,10139,Spain
INV50060,ITEM_135,Product Description ITEM_135,10,2025-02-10 00:00:00,190.37,10144,United Kingdom
INV50060,ITEM_117,Product Description ITEM_117,18,2025-03-30 00:00:00,182.56,10097,United Kingdom
INV50061,ITEM_136,Product Description ITEM_136,20,2025-03-10 00:00:00,122.39,10124,United Kingdom
INV50061,ITEM_118,Product Description ITEM_118,13,2025-02-05 00:00:00,174.22,10070,United Kingdom
INV50061,ITEM_146,Product Description ITEM_146,8,2025-01-20 00:00:00,139.31,10093,United Kingdom
INV50062,ITEM_127,Product Description ITEM_127,7,2025-12-18 00:00:00,56.02,10003,United Kingdom
INV50062,ITEM_139,Product Description ITEM_139,17,2025-02-03 00:00:00,54.13,10148,Spain
INV50062,ITEM_119,Product Description ITEM_119,21,2025-02-06 00:00:00,75.86,10147,USA
INV50063,ITEM_148,Product Description ITEM_148,23,2025-01-11 00:00:00,227.92,10090,United Kingdom
INV50063,ITEM_132,Product Description ITEM_132,15,2025-04-06 00:00:00,137.99,10147,United Kingdom
INV50063,ITEM_111,Product Description ITEM_111,20,2025-03-12 00:00:00,184.14,10148,United Kingdom
INV50064,ITEM_114,Product Description ITEM_114,15,2025-01-15 00:00:00,88.27,10096,United Kingdom
INV50064,ITEM_140,Product Description ITEM_140,1,2025-01-06 00:00:00,103.41,10052,United Kingdom
INV50064,ITEM_138,Product Description ITEM_138,14,2025-03-10 00:00:00,33.58,10128,United Kingdom
INV50065,ITEM_101,Product Description ITEM_101,5,2025-03-05 00:00:00,44.9,10039,France
INV50065,ITEM_128,Product Description ITEM_128,11,2025-01-20 00:00:00,207.27,10082,Germany
INV50065,ITEM_140,Product Description ITEM_140,16,2025-06-30 00:00:00,147.25,10104,United Kingdom
INV50066,ITEM_109,Product Description ITEM_109,2,2025-01-10 00:00:00,86.04,10129,United Kingdom
INV50066,ITEM_101,Product Description ITEM_101,8,2025-02-03 00:00:00,201.21,10011,United Kingdom
CINV50066,ITEM_110,Product Description ITEM_110,-11,2025-06-22 00:00:00,63.51,10042,United Kingdom
INV50067,ITEM_112,Product Description ITEM_112,18,2025-02-02 00:00:00,244.07,10099,United Kingdom
INV50067,ITEM_109,Product Description ITEM_109,3,2025-03-03 00:00:00,87.84,10007,United Kingdom
INV50067,ITEM_113,Product Description ITEM_113,1,2025-01-31 00:00:00,85.98,10144,United Kingdom
INV50068,ITEM_117,Product Description ITEM_117,11,2025-01-20 00:00:00,79.7,10090,United Kingdom
INV50068,ITEM_108,Product Description ITEM_108,16,2025-09-06 00:00:00,32.72,10112,USA
INV50068,ITEM_138,Product Description ITEM_138,18,2025-02-01 00:00:00,30.01,10060,United Kingdom
INV50069,ITEM_127,Product Description ITEM_127,16,2025-05-15 00:00:00,162.91,10113,United Kingdom
INV50069,ITEM_102,Product Description ITEM_102,23,2025-01-16 00:00:00,219.09,10002,United Kingdom
INV50069,ITEM_119,Product Description ITEM_119,10,2025-01-15 00:00:00,198.15,10129,United Kingdom
INV50070,ITEM_105,Product Description ITEM_105,18,2025-01-02 00:00:00,37.42,10048,United Kingdom
INV50070,ITEM_126,Product Description ITEM_126,6,2025-03-05 00:00:00,137.53,10140,Spain
INV50070,ITEM_101,Product Description ITEM_101,19,2025-01-28 00:00:00,28.63,10037,France
INV50071,ITEM_128,Product Description ITEM_128,4,2025-04-30 00:00:00,13.71,10009,United Kingdom
INV50071,ITEM_137,Product Description ITEM_137,13,2025-02-08 00:00:00,164.96,10099,United Kingdom
INV50071,ITEM_102,Product Description ITEM_102,24,2025-07-26 00:00:00,134.95,10147,United Kingdom
INV50072,ITEM_115,Product Description ITEM_115,14,2025-01-13 00:00:00,22.8,10048,United Kingdom
INV50072,ITEM_129,Product Description ITEM_129,3,2025-05-02 00:00:00,11.15,10131,Germany
INV50072,ITEM_139,Product Description ITEM_139,10,2025-03-31 00:00:00,247.46,10148,United Kingdom
INV50073,ITEM_101,Product Description ITEM_101,6,2025-03-30 00:00:00,9.93,10054,United Kingdom
INV50073,ITEM_116,Product Description ITEM_116,1,2025-04-22 00:00:00,112.52,10120,United Kingdom
INV50073,ITEM_140,Product Description ITEM_140,23,2025-03-27 00:00:00,127.39,10116,United Kingdom
INV50074,ITEM_111,Product Description ITEM_111,24,2025-03-01 00:00:00,31.53,10075,USA
INV50074,ITEM_134,Product Description ITEM_134,14,2025-01-09 00:00:00,44.34,10113,United Kingdom
INV50074,ITEM_142,Product Description ITEM_142,8,2025-01-02 00:00:00,89.57,10104,Germany
INV50075,ITEM_100,Product Description ITEM_100,19,2025-06-02 00:00:00,191.01,10084,United Kingdom
INV50075,ITEM_144,Product Description ITEM_144,14,2025-02-27 00:00:00,128.0,10112,Germany
INV50075,ITEM_114,Product Description ITEM_114,10,2025-04-06 00:00:00,160.38,10099,United Kingdom
INV50076,ITEM_125,Product Description ITEM_125,17,2025-02-09 00:00:00,246.33,10093,United Kingdom
INV50076,ITEM_136,Product Description ITEM_136,9,2025-01-08 00:00:00,192.58,10146,France
INV50076,ITEM_120,Product Description ITEM_120,6,2025-01-09 00:00:00,110.0,10128,United Kingdom
INV50077,ITEM_148,Product Description ITEM_148,11,2025-03-11 00:00:00,112.99,10110,United Kingdom
INV50077,ITEM_130,Product Description ITEM_130,7,2025-02-03 00:00:00,155.65,10082,United Kingdom
INV50077,ITEM_124,Product Description ITEM_124,17,2025-01-14 00:00:00,167.18,10054,Germany
INV50078,ITEM_122,Product Description ITEM_122,1,2025-02-10 00:00:00,126.43,10068,United Kingdom
INV50078,ITEM_123,Product Description ITEM_123,22,2025-01-04 00:00:00,162.1,10033,USA
INV50078,ITEM_137,Product Description ITEM_137,5,2025-02-22 00:00:00,8.32,10142,United Kingdom
INV50079,ITEM_127,Product Description ITEM_127,9,2025-01-19 00:00:00,108.83,10021,United Kingdom
INV50079,ITEM_120,Product Description ITEM_120,18,2025-04-06 00:00:00,71.54,10048,Germany
INV50079,ITEM_142,Product Description ITEM_142,24,2025-01-23 00:00:00,34.47,10148,United Kingdom
CINV50080,ITEM_117,Product Description ITEM_117,-21,2025-02-06 00:00:00,27.14,10128,France
INV50080,ITEM_135,Product Description ITEM_135,2,2025-01-01 00:00:00,151.79,10136,Spain
INV50080,ITEM_134,Product Description ITEM_134,11,2025-01-05 00:00:00,132.09,10135,United Kingdom
INV50081,ITEM_144,Product Description ITEM_144,6,2025-01-30 00:00:00,65.26,10145,United Kingdom
INV50081,ITEM_108,Product Description ITEM_108,8,2025-02-09 00:00:00,119.06,10128,United Kingdom
INV50081,ITEM_137,Product Description ITEM_137,4,2025-02-24 00:00:00,124.33,10033,Germany
INV50082,ITEM_129,Product Description ITEM_129,18,2025-01-21 00:00:00,50.76,10115,France
INV50082,ITEM_143,Product Description ITEM_143,11,2025-03-13 00:00:00,163.89,10119,United Kingdom
INV50082,ITEM_133,Product Description ITEM_133,5,2025-04-29 00:00:00,195.78,10022,United Kingdom
INV50083,ITEM_131,Product Description ITEM_131,15,2025-04-01 00:00:00,198.39,10038,United Kingdom
INV50083,ITEM_102,Product Description ITEM_102,18,2025-01-03 00:00:00,151.61,10109,France
INV50083,ITEM_102,Product Description ITEM_102,2,2025-02-09 00:00:00,129.13,10051,United Kingdom
INV50084,ITEM_127,Product Description ITEM_127,22,2025-01-07 00:00:00,17.6,10008,United Kingdom
INV50084,ITEM_143,Product Description ITEM_143,11,2025-01-17 00:00:00,73.74,10027,United Kingdom
INV50084,ITEM_114,Product Description ITEM_114,13,2025-09-17 00:00:00,25.58,10027,France
INV50085,ITEM_140,Product Description ITEM_140,4,2025-01-10 00:00:00,241.05,10021,United Kingdom
INV50085,ITEM_122,Product Description ITEM_122,22,2025-02-11 00:00:00,35.93,10030,United Kingdom
INV50085,ITEM_139,Product Description ITEM_139,7,2025-02-27 00:00:00,40.06,10097,United Kingdom
INV50086,ITEM_110,Product Description ITEM_110,11,2025-03-14 00:00:00,222.67,10028,United Kingdom
INV50086,ITEM_147,Product Description ITEM_147,22,2025-02-19 00:00:00,236.12,10111,Germany
INV50086,ITEM_131,Product Description ITEM_131,24,2025-01-01 00:00:00,192.04,10061,Spain
INV50087,ITEM_135,Product Description ITEM_135,4,2025-01-24 00:00:00,3.84,10048,United Kingdom
INV50087,ITEM_132,Product Description ITEM_132,15,2025-02-13 00:00:00,2.83,10147,United Kingdom
INV50087,ITEM_123,Product Description ITEM_123,1,2025-01-06 00:00:00,96.08,10004,United Kingdom
INV50088,ITEM_138,Product Description ITEM_138,23,2025-01-26 00:00:00,37.99,10035,United Kingdom
INV50088,ITEM_133,Product Description ITEM_133,3,2025-01-03 00:00:00,7.05,10049,France
INV50088,ITEM_127,Product Description ITEM_127,14,2025-01-05 00:00:00,117.36,10017,United Kingdom
INV50089,ITEM_136,Product Description ITEM_136,6,2025-01-31 00:00:00,235.91,10046,United Kingdom
INV50089,ITEM_106,Product Description ITEM_106,18,2025-01-09 00:00:00,82.65,10117,United Kingdom
INV50089,ITEM_103,Product Description ITEM_103,1,2025-02-20 00:00:00,166.13,10006,United Kingdom
INV50090,ITEM_136,Product Description ITEM_136,6,2025-03-12 00:00:00,163.93,10099,United Kingdom
INV50090,ITEM_100,Product Description ITEM_100,6,2025-04-07 00:00:00,64.64,10124,United Kingdom
INV50090,ITEM_100,Product Description ITEM_100,21,2025-01-14 00:00:00,163.48,10037,United Kingdom
